,País,Alf_total,Alf_masculino,Alf_feminino
0,Mundo,84.0,88.6,79.7
1, Afeganistão,38.2,52.0,24.2
2, Albânia,98.2,98.4,97.9
3, Alemanha,99.0,99.0,99.0
4, Argélia,72.6,81.3,63.9
5, Andorra,100.0,100.0,100.0
6, Angola,70.4,82.6,58.6
7, Anguila,95.0,95.0,95.0
8, Antigua e Barbuda,99.0,98.4,99.4
9, Argentina,97.9,97.8,97.9
10, Arménia,99.6,99.7,99.5
11, Aruba,96.8,96.9,96.7
12, Austrália,96.0,96.0,96.0
13, Áustria,98.0,0.0,0.0
14, Azerbaijão,99.8,99.9,99.7
15, Bahamas,95.6,94.7,96.5
16, Bahrein,94.6,96.1,91.6
17, Bangladesh,57.7,62.0,53.4
18, Barbados,99.7,99.7,99.7
19, Bielorrússia,99.6,99.8,99.5
20, Bélgica,99.0,99.0,99.0
21, Belize,76.9,76.7,77.1
22, Benim,42.4,55.2,30.3
23, Bermuda,98.0,98.0,99.0
24, Butão,52.8,65.0,38.7
25, Bolivia,91.2,95.8,86.8
26, Bósnia e Herzegovina,99.4,99.8,98.9
27, Botswana,85.1,84.6,85.6
28, Brasil,93.2,0.0,0.0
29, Brunei,95.4,97.0,93.9
30, Bulgária,98.4,98.7,98.0
31, Burkina Faso,28.7,36.7,21.6
32, Burundi,67.2,72.9,61.8
33, Camboja,73.9,82.8,65.9
34, Camarões,71.3,78.3,64.8
35, Canadá,99.0,99.0,99.0
36, Cabo Verde,84.9,89.7,80.3
37,Cazaquistão,99.5,99.8,99.3
38, Chade,35.4,45.6,25.4
39, Chile,98.6,98.6,98.5
40, China,95.1,97.5,92.7
41, Chipre,98.7,99.3,98.1
42, Colômbia,93.6,93.5,93.7
43, Comores,75.5,80.5,70.6
44, Costa do Marfim,56.2,65.2,46.6
45, Costa Rica,96.3,96.0,96.5
46, Croácia,99.2,99.4,98.7
47, Cuba,99.8,99.8,99.8
48, Dinamarca,99.0,99.0,99.0
49, Djibouti,70.0,0.0,0.0
50, Dominica,94.0,94.0,94.0
51, Equador,91.6,93.1,90.2
52, Egito,73.9,81.7,65.8
53, El Salvador,84.5,87.1,82.3
54, Eritreia,80.0,0.0,0.0
55, Estónia,99.8,99.8,99.8
56, Etiópia,39.0,49.1,28.9
57, Faixa de Gaza,96.4,98.3,94.3
58, Fiji,93.7,95.5,91.9
59, Filipinas,95.4,95.0,95.8
60, Finlândia,100.0,100.0,100.0
61, França,99.0,99.0,99.0
62, Gabão,88.4,91.9,84.9
63,Gâmbia,50.0,60.0,40.4
64, Geórgia,99.7,99.8,99.7
65, Gana,71.5,78.3,65.3
66, Gibraltar,80.0,0.0,0.0
67, Grécia,98.0,98.8,99.0
68, Gronelândia,100.0,100.0,100.0
69, Granada,96.0,0.0,0.0
70, Guam,99.0,99.0,99.0
71, Guatemala,69.1,75.4,63.3
72, Guernsey,0.0,0.0,0.0
73, Guiné,41.0,52.0,30.0
74, Guiné-Bissau,55.3,68.9,42.1
75, Guiné Equatorial,94.2,97.1,91.1
76, Guiana,91.8,92.0,91.6
77, Haiti,52.9,54.8,51.2
78, Honduras,80.0,79.8,80.2
79, Hong Kong,93.5,96.9,89.6
80, Hungria,99.0,99.2,98.9
81, Ilhas Cayman,98.9,98.7,99.0
82, Ilhas Cocos,0.0,0.0,0.0
83, Ilhas Cook,95.0,0.0,0.0
84, Ilha de Man,0.0,0.0,0.0
85, Ilhas Falkland,0.0,0.0,0.0
86, Ilhas Feroé,0.0,0.0,0.0
87, Ilhas Marshall,93.7,93.6,93.7
88, Ilhas Pitcairn,0.0,0.0,0.0
89, Ilhas Virgens Britânicas,97.8,0.0,0.0
90, Índia,74.4,82.1,65.5
91, Indonésia,92.8,97.0,89.6
92, Islândia,99.0,99.0,99.0
93, Irão,85.0,89.3,80.7
94, Iraque,80.2,89.0,73.6
95, Irlanda,99.0,99.0,99.0
96, Israel,97.1,98.5,95.9
97, Itália,99.0,99.2,98.7
98, Jamaica,87.9,84.1,91.6
99, Japão,99.0,99.0,99.0
100, Jersey,0.0,0.0,0.0
101, Jordânia,93.4,96.6,90.2
102, Kiribati,0.0,0.0,0.0
103, Coreia do Norte,90.4,92.0,85.0
104, Coreia do Sul,97.9,99.2,96.6
105, Kosovo,91.9,96.6,87.5
106, Kuwait,94.0,94.4,97.0
107, Quirguistão,98.7,99.3,98.1
108, Laos,73.0,83.0,63.0
109, Letónia,99.8,99.8,99.8
110, Líbano,89.6,93.4,86.0
111, Lesoto,89.6,83.3,95.6
